Mumbai,Maharashtra
Delhi,Delhi
Bangalore,Karnataka
Hyderabad,Telangana
Ahmedabad,Gujarat
Chennai,Tamil Nadu
Kolkata,West Bengal
Surat,Gujarat
Pune,Maharashtra
Jaipur,Rajasthan
Visakhapatnam[a],Andhra Pradesh
Kanpur,Uttar Pradesh
Nagpur,Maharashtra
Lucknow,Uttar Pradesh
Thane,Maharashtra
Bhopal,Madhya Pradesh
Indore,Madhya Pradesh
Pimpri-Chinchwad,Maharashtra
Patna,Bihar
Vadodara,Gujarat
Ghaziabad,Uttar Pradesh
Ludhiana,Punjab
Agra,Uttar Pradesh
Nashik,Maharashtra
Faridabad,Haryana
Meerut,Uttar Pradesh
Rajkot,Gujarat
Kalyan-Dombivli,Maharashtra
Vasai-Virar,Maharashtra
Varanasi,Uttar Pradesh
Srinagar,Jammu and Kashmir
Aurangabad,Maharashtra
Dhanbad,Jharkhand
Amritsar,Punjab
Navi Mumbai,Maharashtra
Allahabad,Uttar Pradesh
Howrah,West Bengal
Ranchi,Jharkhand
Gwalior,Madhya Pradesh
Jabalpur,Madhya Pradesh
Coimbatore,Tamil Nadu
Vijayawada,Andhra Pradesh
Jodhpur,Rajasthan
Madurai,Tamil Nadu
Raipur,Chhattisgarh
Chandigarh,Chandigarh
Guntur,Andhra Pradesh
Guwahati,Assam
Solapur,Maharashtra
Hubli–Dharwad,Karnataka
Mysore,Karnataka
Tiruchirappalli,Tamil Nadu
Bareilly,Uttar Pradesh
Moradabad,Uttar Pradesh
Tiruppur,Tamil Nadu
Gurgaon,Haryana
Aligarh,Uttar Pradesh
Jalandhar,Punjab
Bhubaneswar,Odisha
Salem,Tamil Nadu
Mira-Bhayandar,Maharashtra
Warangal,Telangana
Jalgaon,Maharashtra
Kota,Rajasthan
Bhiwandi,Maharashtra
Saharanpur,Uttar Pradesh
Gorakhpur,Uttar Pradesh
Bikaner,Rajasthan
Amravati,Maharashtra
Noida,Uttar Pradesh
Jamshedpur,Jharkhand
Bhilai,Chhattisgarh
Cuttack,Odisha
Firozabad,Uttar Pradesh
Kochi,Kerala
Nellore,Andhra Pradesh
